city,Lon,Lat
Eldoria, 45.6789, -23.4567
Avaloria, -12.3456, 34.5678
Dragontown, 0.9876, -56.7890
Mysticvale, 23.4567, 12.3456
Shadowmere, -67.8901, -45.6789
Stormkeep, -89.0123, 67.8901
Emberfall, 78.9012, -0.1234
Whisperwind, 12.3456, -34.5678
Crystalia, 23.9876, -45.7890
Frostholme, -56.1234, 67.2345
Starhaven, 0.4567, -12.3456
Ironforge, 78.3456, -23.4567
Celestial Reach, -34.5678, 89.1234
Shadowfen, 12.7890, -67.8901
Sunset Ridge, -23.4567, 56.7890
Whiterun, 45.6789, -0.9876
Stormwatch, -78.9012, 34.5678
Dragonspire, 67.8901, -89.0123
Mystic Falls, -0.1234, 23.4567
Moonshadow, 56.7890, -78.9012